text,true_label,pred_label
u want xmas 100 free text messages new video phone half price line rental call free 0800 0721072 find,smishing,smishing
dont know bring food,ham,ham
140 ard rest ard 180 least price 4 2 bedrm 900,ham,ham
oh fine tonight,ham,ham
checking really miss seeing jeremiah great month,ham,ham
lol ok snatch purse,ham,ham
important customer service announcement calnumber 0800 542 0826,smishing,smishing
never wanted tell short edge late,ham,ham
bus love,ham,ham
2 babe feel lets 4get try cheer fit soo muchxxlove u locaxx,ham,ham
nothing spl wat abt u whr ru,ham,ham
yeah probably sure ilol let u know personally wuldnt bother ur goin mite well,ham,ham
shall bring us bottle wine keep us amused joking bring one anyway,ham,ham
callin say hi take care bruv,ham,ham
free 1st week no1 nokia tone 4 ur mob every week txt nokia 87077 zed pobox 36504 w45wq norm150p tone 16,spam,spam
need ke qi bored izzit suddenly thk,ham,ham
gr8 see message r u leaving congrats dear school wat r ur plans,ham,ham
ok tell later,ham,ham
smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling keep smiling,ham,ham
navratra special launching 9th oct chd presnts phase 3 avenue71 shona road gurgaon rs 4150 lease rs 400 inaugural discount sms icd 54999,spam,ham
aah bless arm,ham,ham
yay wait party together,ham,ham
want go,ham,ham
link picture sent also use,smishing,ham
wonder get text,ham,ham
party place usf charge contribute way greatly appreciated yeah got room one,ham,ham
minimum walk 3miles day,ham,ham
saw message k da,ham,ham
pls give food preferably pap slowly loads sugar take hour give water slowly,ham,ham
hiya comin 2 bristol 1 st week april les got rudi new yrs eve snoring drunk u bak college yet work sends ink 2 bath,ham,ham
monthly password wap mobsi com 391784 use wap phone pc,spam,ham
k k detail want transfer acc enough,ham,ham
want send virtual hug need one,ham,ham
200 free minutes mobile 100 free text free camcorder reply call 8000930705,smishing,smishing
thanx 4 sending home,ham,ham
said u mind go bedroom minute ok sed sexy mood came 5 minuts latr wid cake n wife children,ham,ham
fine absolutly fine,ham,ham
1 new message please call 08715205273,smishing,smishing
saw guys dolls last night patrick swayze great,ham,ham
yes gauti sehwag odi series,ham,ham
well balls time make calls,ham,ham
reverse cheating mathematics,ham,ham
dear paytm customer paytm kyc expired contact customer care 6200992462 immediately account block within 24 hr thank paytm team,smishing,smishing
good friends care close friends understand true friends stay forever beyond words beyond time gud ni8,ham,ham
ree entry 2 weekly comp chance win ipod txt pod 80182 get entry std txt rate c apply 08452810073 details 18,spam,spam
enjoy ur life good night,ham,ham
mind blastin tsunamis occur rajnikant stopped swimming indian ocean,ham,ham
two letters copy cos one message speak soon,ham,ham
fancy shag interested sextextuk com txt xxuk suzy 69876 txts cost 1 50 per msg tncs website x,spam,spam
sorry delay yes masters,ham,ham
channel,ham,ham
k call ah,ham,ham
well great weekend,ham,ham
1 000 cash 2 000 prize claim call09050000327 c rstm sw7 3ss 150ppm,smishing,smishing
seems like weird timing night g want come smoke day shitstorm attributed always coming making everyone smoke,ham,ham
yo around friend mine lookin pick later tonight,ham,ham
walked moms right stagwood pass right winterstone left victors hill address lt gt,ham,ham
beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves,ham,ham
friend got says upping order grams got lt gt get,ham,ham
yes possible dint try pls dont tell one k,ham,ham
44 7732584351 want new nokia 3510i colour phone deliveredtomorrow 300 free minutes mobile 100 free texts free camcorder reply call 08000930705,smishing,smishing
also didnt get na hi hi hi hi hi,ham,ham
hai ana tomarrow coming morning lt decimal gt ill sathy go rto office reply came home,ham,ham
lay man let know missed thought great day send bimbo ugo numbers ill appreciate safe,ham,ham
thanks love torch bold,ham,ham
dear got lt gt dollars hi hi,ham,ham
stop story told returned saying order,ham,ham
smith waste da wanna gayle,ham,ham
eastenders tv quiz flower dot compare violet e tulip f lily txt e f 84025 4 chance 2 win 100 cash wkent 150p16,spam,spam
mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030,smishing,smishing
ok c,ham,ham
private 2004 account statement 07742676564 shows 786 unredeemed bonus points claim call 08719180249 identifier code 45239 expires,smishing,smishing
fine anytime best,ham,ham
meant calculation lt gt units lt gt school really expensive started practicing accent important decided 4years dental school nmde exam,ham,ham
available like right around hillsborough amp lt gt th,ham,ham
ripped get mobile content call 08717509990 poly true pix ringtones games six downloads 3,smishing,spam
plural noun research,ham,ham
convey regards best wishes,ham,ham
asked 3mobile 0870 chatlines inclu free mins india cust servs sed yes l8er got mega bill 3 dont giv shit bailiff due days 250 3 want 800,spam,ham
urgent trying contact u todays draw shows 800 prize guaranteed call 09050003091 land line claim c52 valid12hrs,smishing,smishing
wat r u,ham,ham
unless situation go gurl would appropriate,ham,ham
nice day today love dearly,ham,ham
maybe find something else instead,ham,ham
argh 3g spotty anyway thing remember research province sterling problem free places looked,ham,ham
arngd marriage u r walkin unfortuntly snake bites u bt love marriage dancing frnt snake amp sayin bite bite,ham,ham
message sent askin lt gt dollars shoul pay lt gt lt gt,ham,ham
waiting e car 4 mum lor u leh reach home already,ham,ham
still area restaurant ill try come back soon,ham,ham
plan staying night prolly back til late,ham,ham
get rid cockroach termite bedbug rats pest4best deals inpestcontrolservices chemical herbal odorlessdial n ask011 62222222,spam,ham
entered cabin pa said happy b day boss felt special askd 4 lunch,ham,ham
farm open,ham,ham
alert rbc royal bank suspended unlock account click,smishing,ham
think da wil,ham,ham
oh grand bit party mention cover charge probably first come first served,ham,ham
sorry man account dry would want could trade back half could buy shit credit card,ham,ham
yes dont care need bad princess,ham,ham
yo chad gymnastics class wanna take site says christians class full,ham,ham
u get message,ham,ham
donno scorable,ham,ham
good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy,ham,ham
mm way railway,ham,ham
eerie nokia tones 4u rply tone title 8007 eg tone dracula 8007 titles ghost addamsfa munsters exorcist twilight pobox36504w45wq 150p,spam,spam
ok congrats,ham,ham
lol boo hoping laugh,ham,ham
move morphine,ham,ham
sorry call later hv work,ham,ham
much eighth,ham,ham
luv u soo much u understand special u r 2 ring u 2morrow luv u xxx,ham,ham
private 2003 account statement 07815296484 shows 800 un redeemed points call 08718738001 identifier code 41782 expires 18 11 04,smishing,smishing
lolnice went fish water,ham,ham
u make fb list,ham,ham
really really broke oh amount small even lt gt,ham,ham
ok help ask working tmr,ham,ham
crucify c told earlier,ham,ham
dear customer order 42 84 euro approved didnt purchased anything believe unauthorized person accessed account please access link,smishing,smishing
k might come tonight class lets early,ham,ham
