text,true_label,pred_label,pred_proba
what do want for xmas how about free text messages new video phone with half price line rental call free now on to find out more,smishing,smishing,0.59178364
dont know you bring some food,ham,ham,0.0063307965
its only ard rest all ard at leastwhich is price bedrm,ham,ham,0.04275714
oh fine ill be by tonight,ham,ham,0.0050627617
just checking in on you really do miss seeing jeremiah do have great month,ham,ham,0.017178528
lol ok ill snatch her purse too,ham,ham,0.017076759
you have an important customer service announcement calnumber now,smishing,smishing,0.59941447
which is why never wanted to tell you any of this which is why im so short with you and onedge as of late,ham,ham,0.17208648
im on the bus love you,ham,ham,0.0057298904
me babe feel the same lets just get about itboth try cheer upnot fit soo muchxxlove locaxx,ham,ham,0.33812767
nothing splwat abt and whr ru,ham,ham,0.0034359382
yeah probably but not sure ilol let know but personally wuldnt bother then again if ur goin to then mite as well,ham,ham,0.48393038
shall bring us bottle of wine to keep us amused only joking ill bring one anyway,ham,smishing,0.58522856
was just callin to say hi take care bruv,ham,ham,0.048517197
free for st week no nokia tone ur mob every week just txt nokia to zed pobox wwq normptone,spam,smishing,0.8223209
no need to ke qi too bored izzit suddenly thk of this,ham,ham,0.17953356
was gr to see that message so when leaving congrats dear what school and wat ur plans,ham,ham,0.18270124
oktell me later,ham,ham,0.0009800489
smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts smile becoz someone still loves to see smiling keep smiling,ham,smishing,0.68362355
navratra special launching th oct chd presnts phase of avenue shona road gurgaon rs lease rs as inaugural discount sms icd to,spam,smishing,0.9768098
aah bless hows your arm,ham,ham,0.0022272682
yay cant wait to party together,ham,ham,0.006865897
you want to go,ham,ham,0.0016926513
link to your picture has been sent you can also use httpaltocoukwavewaveaspo,smishing,ham,0.044967346
wonder if youll get this text,ham,ham,0.0036425362
partys at my place at usf no charge but if you can contribute in any way it is greatly appreciated and yeah we got room for one more,ham,ham,0.27835578
minimum walk is miles day,ham,ham,0.0016133892
just now saw your messageit da,ham,ham,0.01597242
pls give her the food preferably pap very slowly with loads of sugar you can take up to an hour to give it and then some water very very slowly,ham,smishing,0.6244495
hiya comin bristol st week in april les got off rudi on new yrs eve but was snoringthey were drunk bak at college yet my work sends ink bath,ham,smishing,0.7308655
monthly password for wap mobsicom is use your wap phone not pc,spam,ham,0.11803485
kkwhat are detail you want to transferacc no enough,ham,ham,0.010593589
want to send me virtual hug need one,ham,ham,0.018685522
free minutes to any mobile free text free camcorder reply or call,smishing,smishing,0.52185035
thanx sending me home,ham,ham,0.0037191177
she said do mind if go into the bedroom for minute ok sed in sexy mood she came out minuts latr wid caken my wifechildren were there with her,ham,ham,0.4343173
me fineabsolutly fine,ham,ham,0.0015165753
you have new message please call,smishing,ham,0.013637752
saw guys and dolls last night with patrick swayze it was great,ham,ham,0.038591057
yesgauti and sehwag out of odi series,ham,ham,0.004756791
well balls time to make calls,ham,ham,0.006005489
reverse is cheating that is not mathematics,ham,ham,0.0028909221
dear paytm customer your paytm kyc has expired contact customer care no immediately your account will block within hr thank you paytm team,smishing,smishing,0.81024015
good friends care for each other close friends understand each other and true friends stay forever beyond words beyond time gud ni,ham,smishing,0.7157308
ree entry in weekly comp for chance to win an ipod txt pod to to get entry std txt rate tcs apply for details,spam,smishing,0.759048
enjoy ur life good night,ham,ham,0.0051213643
mind blastin no more tsunamis will occur from now on rajnikant stopped swimming in indian oceand,ham,ham,0.25418606
have had two more letters from will copy them for you cos one has message for you speak soon,ham,ham,0.39791897
fancy shag dointerested sextextukcom txt xxuk suzy to txts cost per msg tncs on website,spam,ham,0.3763962
sorry for the delay yes masters,ham,ham,0.009485417
which channel,ham,ham,0.0022969358
did you call me just now ah,ham,ham,0.010272325
well then you have great weekend,ham,ham,0.0031774412
you have won cash or prize to claim call tc rstm sw ss ppm,smishing,smishing,0.93305564
it just seems like weird timing that the night that all you and want is for me to come smoke is the same day as when shitstorm is attributed to me always coming over and making everyone smoke,ham,smishing,0.50648123
yo you around friend of mines lookin to pick up later tonight,ham,ham,0.13657418
we walked from my moms right on stagwood pass right on winterstone left on victors hill address is ltgt,ham,ham,0.22895224
beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it,ham,smishing,0.861018
my friend just got here and says hes upping his order by few grams hes got ltgt when can you get here,ham,smishing,0.6825568
yes its possible but dint try pls dont tell to any one,ham,ham,0.044179495
do you want new nokia colour phone deliveredtomorrow with free minutes to any mobile free texts free camcorder reply or call,smishing,smishing,0.86148536
you also didnt get na hi hi hi hi hi,ham,ham,0.09527167
hai ana tomarrow am coming on morning ltdecimalgt ill be there in sathy then we ll go to rto office reply me after came to home,ham,ham,0.48097444
the lay man just to let you know you are missed and thought off do have great day and if you can send me bimbo and ugos numbers ill appreciate safe,ham,smishing,0.58202326
thanks love but am doing torch or bold,ham,ham,0.027979223
dear we got ltgt dollars hi hi,ham,ham,0.016101515
stop the story ive told him ive returned it and hes saying should not re order it,ham,ham,0.45531565
smith waste dai wanna gayle,ham,ham,0.11301958
eastenders tv quiz what flower does dot compare herself to violet tulip lily txt or to now chance win cash wkentp,spam,smishing,0.7915576
had your mobile months or more entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,smishing,smishing,0.95461935
ok then,ham,ham,0.0012216171
private your account statement for shows unredeemed bonus points to claim call identifier code expires,smishing,smishing,0.96906
sfine anytime all the best with it,ham,ham,0.007446296
no meant the calculation is the same that ltgt units at ltgt this school is really expensive have you started practicing your accent because its important and have you decided if you are doing years of dental school or if youll just do the nmde exam,ham,ham,0.34201515
you available now im like right around hillsborough amp ltgt th,ham,ham,0.02188838
you are being ripped off get your mobile content from wwwclubmobycom call polytruepixringtonesgames six downloads for only,smishing,smishing,0.50376403
what is the plural of the noun research,ham,ham,0.004498243
convey my regards to himbest wishes,ham,ham,0.004337505
asked mobile if chatlines inclu in free mins india cust servs sed yes ler got mega bill dont giv shit bailiff due in days want,spam,smishing,0.7918504
urgent we are trying to contact todays draw shows that you have won prize guaranteed call from land line claim validhrs only,smishing,smishing,0.99907506
wat doing,ham,ham,0.0019438927
unless its situation where you go gurl would be more appropriate,ham,ham,0.017860552
do have nice day today love you so dearly,ham,ham,0.014657278
maybe you should find something else to do instead,ham,ham,0.046751283
argh my is spotty anyway the only thing remember from the research we did was that province and sterling were the only problemfree places we looked at,ham,ham,0.25439325
arngd marriage is while walkin unfortuntly snake bites bt love marriage is dancing in frnt of snake amp sayin bite me bite me,ham,smishing,0.55659664
the message sent is askin for ltgt dollars shoul pay ltgt or ltgt,ham,ham,0.07753979
waiting in car my mum lor leh reach home already,ham,ham,0.09959086
still in the area of the restaurant ill try to come back soon,ham,ham,0.037726466
and dont plan on staying the night but prolly wont be back til late,ham,ham,0.06419599
now get rid offcockroachtermitebedbugratsany pestbest deals inpestcontrolserviceschemicalherbalodorlessdialnask,spam,smishing,0.6089388
as entered my cabin my pa said happy bday boss felt special she askd me lunch,ham,ham,0.44215938
was the farm open,ham,ham,0.0015959593
alert your rbc royal bank has been suspended to unlock your account click here httpreacmobimobile,smishing,smishing,0.55915874
think da you wil do,ham,ham,0.004547633
oh the grand is having bit of party but it doesnt mention any cover charge so its probably first come first served,ham,smishing,0.69678783
sorry man my accounts dry or would if you want we could trade back half or could buy some shit with my credit card,ham,ham,0.45828795
yes but dont care need you bad princess,ham,ham,0.008751636
yo chad which gymnastics class do you wanna take the site says christians class is full,ham,ham,0.1994725
did get that message,ham,ham,0.001439252
donno if they are scorable,ham,ham,0.0017081088
good afternoon loverboy how goes you day any luck come your way think of you sweetie and send my love across the sea to make you smile and happy,ham,ham,0.39363185
mm am on the way to railway,ham,ham,0.004936238
eerie nokia tones rply tone title to eg tone dracula to titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk poboxwwq,spam,smishing,0.60877424
okcongrats,ham,ham,0.08013852
lol boo was hoping for laugh,ham,ham,0.008021455
these wont do have to move on to morphine,ham,ham,0.010269241
sorry ill call laterhv some work,ham,ham,0.0701585
how much for an eighth,ham,ham,0.0049155573
luv soo much dont understand how special me ring morrow luv xxx,ham,ham,0.30563134
private your account statement for shows unredeemed sim points call identifier code expires,smishing,smishing,0.965366
lolnice went from fish to water,ham,ham,0.011756722
should make fb list,ham,ham,0.0020953326
but im really really broke oh no amount is too small even ltgt,ham,ham,0.19135407
ok help me ask if shes working tmr not,ham,ham,0.09286068
crucify is not you should have told me earlier,ham,ham,0.0087019475
dear customer your order of euro has been approved if you didnt purchased anything or it you believe an unauthorized person has accessed your account please access the link below httpordersaspx,smishing,smishing,0.7326146
might come by tonight then if my class lets out early,ham,ham,0.06531442
this weeks savamob member offers are now accessible just call for details savamob pobox la wu only week savamob offers mobile,smishing,smishing,0.90248597
you have won guaranteed cash or prize to claim yr prize call our customer service representative on between ampm,smishing,smishing,0.9144235
log off wat its sdrybi,ham,ham,0.006445595
but have to like to have love and arrange,ham,ham,0.00956363
records indicate you were involved in an accident in the last years as such you are entitled to claim compensation reply claim for info or stop to opt out,smishing,smishing,0.7353259
haha dont be angry with yourself take it as practice for the real thing,ham,ham,0.043265674
this is ur face test ltgt select any number will tell ur face astrology am waiting quick reply,ham,ham,0.25288045
double mins and txts months free bluetooth on orange available on sony nokia motorola phones call mobileupd on,spam,smishing,0.9910806
ya ok vikky vl witin ltgt mins and il reply,ham,ham,0.013043661
jus reached home go bathe first but my sis using net tell when she finishes,ham,ham,0.13835055
wat happened to the cruise thing,ham,ham,0.0046045757
we have all rounderso not required,ham,ham,0.02278771
freemsgfeelin kinda lnly hope like keep me company jst got cam moby wanna my pictxt or reply date to msgp rcv hlp stop to,spam,smishing,0.8491526
youve won tkts to the euro cup final or cash to collect call pobox ppm,smishing,smishing,0.7747104
will come to ur home now,ham,ham,0.0038431883
dont know supports ass and srt thnk think ps can play through usb too,ham,ham,0.21499696
you please give us connection today itself before ltdecimalgt or refund the bill,ham,ham,0.311402
free polyphonic ringtone text super to to get your free poly tone of the week now sn pobox nr zs subscription pw,spam,smishing,0.86374843
meet top us universities in delhi at india habitat centre lodhi road on nov th to pm for student admissionentry free details contact,spam,smishing,0.8900689
evening good if somewhat event laden will fill you in dont you worry head ok but throat wrecked see you at six then,ham,ham,0.19068544
hanging out with my brother and his family,ham,ham,0.0072313226
freemsg hey im buffy and love to satisfy men home alone feeling randy reply my pix qlynnbv helpp msg send stop to stop txts,spam,smishing,0.51837283
what he said is not the matter my mind saying some other matter is there,ham,ham,0.22799607
lol no ouch but wish id stayed out bit longer,ham,ham,0.034749735
yo any way we could pick something up tonight,ham,ham,0.06781625
if bored up just come to my home,ham,ham,0.00799306
hmm ill have to think about it ok youre forgiven,ham,ham,0.013636009
did you try making another butt,ham,ham,0.01823914
oh rite well im with my best mate pete who went out with week now were geva again its been longer than week,ham,smishing,0.65070105
good sleep is about rhythm the person has to establish rhythm that the body will learn and use if you want to know more,ham,ham,0.28408638
hi do want to join me with sts later meeting them at five call after class,ham,ham,0.3973551
also remember the beads dont come off ever,ham,ham,0.005099528
aight do you still want to get money,ham,ham,0.007206543
only for girls bbambaexecutive mbabscitbio techbtech flexible timings govtrecognizedwwwbsaitmin join bsaitm vikaspuri,spam,ham,0.17810935
how are you with moneyas in to youmoney aint thinghow are you sha,ham,ham,0.06739275
really dun bluff me leh sleep early too nite,ham,ham,0.12342241
urgent ireland gov has issued payment of to all residents as part of its promise to battle covid tap here to apply httpurliej,smishing,smishing,0.52826685
hi baby im sat on the bloody bus at the mo and wont be home until about wanna do somethin later call me later ortxt back jess xx,ham,smishing,0.5722079
din tell jus now,ham,ham,0.0024796273
urgent this is our nd attempt to contact your prize from yesterday is still awaiting collection to claim call now aclpm,smishing,smishing,0.818163
happy birthday may find ur prince charming soon and stay happy,ham,ham,0.065954395
last chance claim ur worth of discount vouchers today text shop to now savamob offers mobile cs savamob pobox muz,smishing,smishing,0.98349506
as usualiam fine happy amp doing well what about,ham,ham,0.080561414
kkim also finewhen will you complete the course,ham,ham,0.0058983113
wil be there with in ltgt minutes got any space,ham,ham,0.012604358
final chance claim ur worth of discount vouchers today text yes to now savamob member offers mobile cs savamob pobox muz subs,smishing,smishing,0.9952609
anyway dont think can secure anything up here lemme know if you want me to drive down south and chill,ham,ham,0.31827527
hey is rite put evey mnth is that all,ham,ham,0.38257974
are you ok what happen to behave like this,ham,ham,0.025827048
do you want new nokia colour phone delivered tomorrow with free minutes to any mobile and free camcorder reply or call,smishing,smishing,0.80099887
go and sleep well take rest,ham,ham,0.006240369
gsoh good with the ladiesu could male gigolo join the uks fastest growing mens club reply oncall mjzgroup stop reply stop msgrcvd,spam,smishing,0.56970125
dont you have message offer,ham,ham,0.004020326
housemaid is the murderer coz the man was murdered on th january,ham,ham,0.039927278
let me know how to contact you ive you settled in room lets know you are ok,ham,ham,0.07440753
borrow ur bag ok,ham,ham,0.0015679424
dear umma she called me now,ham,ham,0.0078002294
where are you call me,ham,ham,0.004337435
should have picked up receipt or something earlier,ham,ham,0.018516392
in da car park,ham,ham,0.002217261
aight ill get it later,ham,ham,0.002609954
wats da model num of ur phone,ham,ham,0.015724797
you give us back my id proof and ltgt rs we wont allow you to work we will come to your home within days,ham,ham,0.36996758
thanks for yesterday sir you have been wonderful hope you enjoyed the burial mojibiola,ham,ham,0.07391179
eatin later but im eatin wif my frens now lei going home first,ham,ham,0.09355169
sorry ill call laterurgent work,ham,ham,0.010553461
have great trip to india and bring the light to everyone not just with the project but with everyone that is lucky to see you smile bye abiola,ham,ham,0.44672507
definitely need module from humanities dis sem izzit wan take other modules st,ham,smishing,0.6359373
sms auction brand new nokia is up auction today auction is free join take part txt nokia to now,spam,smishing,0.64325255
the search happiness is of main sources of unhappiness accept life the way it comes will find happiness in every moment live,ham,ham,0.3951428
understand his loss is my gain so do you work school,ham,ham,0.01189599
am in bus on the way to calicut,ham,ham,0.0067044343
th of july,ham,ham,0.0012648983
what you need you have person to give na,ham,ham,0.017166609
havent heard anything and hes not answering my texts so im guessing he flaked that said the jb is fantastic,ham,ham,0.2680832
havent shopping now lor juz arrive only,ham,ham,0.046023875
will you come online today night,ham,ham,0.0073496313
not thought bout it drink in tap spile at seven is that pub on gas st off broad st by canal ok,ham,ham,0.46456185
wan haf lunch im in da canteen now,ham,ham,0.01098142
have good evening ttyl,ham,ham,0.0020309456
dont know and dont know me send chat to now and lets find each other only pmsg rcvd,spam,smishing,0.5910347
dear customer your pyatm wallet has been booked and hold your amount please complete your kyc contact customer care,smishing,smishing,0.84696317
one day crab was running on the sea shorethe waves came cleared the footprints of the crab crab asked being my frnd clearing my beautiful footprints waves replied fox was following ur footprints to catch you thats cleared it off frndsship never lets dwn gud nyt,ham,smishing,0.8381378
no shes currently in scotland for that,ham,ham,0.015897347
the affidavit says ltgt twiggs st division courtroom ltgt lttimegt am ill double check and text you again tomorrow,ham,ham,0.32946867
your free gift is waiting to be collected simply call,smishing,ham,0.06530051
babe need your advice,ham,ham,0.0014435461
don knowwait will check it,ham,ham,0.0022075514
have secret admirer reveal who thinks so special call to opt out reply reveal stop per msg recd cust care,smishing,smishing,0.94083613
mmm thats better now got roast down me id better if had few drinks down me good indian,ham,ham,0.34867978
you might want to pull out more just in case and just plan on not spending it if you can dont have much confidence in derek and taylors money management,ham,smishing,0.68007994
thought we were doing king of the hill thing there,ham,ham,0.023991283
miss call miss call khelate kintu opponenter miss call dhorte lage thats rule one with great phone receiving quality wins,ham,smishing,0.8874499
excellent spent ltgt years in the air force iraq and afghanistan am stable and honest do you like traveling,ham,ham,0.0550592
im very happy for you babe woo hoo party on dude,ham,ham,0.034785997
